seed;sparsity;method;teacher_f1;sparse_f1;pre_ft_f1;final_f1;final_acc;teacher_params;sparse_nonzero;compact_params;compression;convert_time;finetune_time;total_time;f1_recovery
123;0.5;weight_redistribution;0.9566589615931721;0.95999599959996;0.3314585875736191;0.9666651851193386;0.9666666666666667;33666;17026;4317;7.798471160528145;0.0005538463592529297;0.07559084892272949;0.07614469528198242;1.0104595513426256
123;0.5;evomerge;0.9566589615931721;0.95999599959996;0.9599888858016116;0.9566358299235012;0.9566666666666667;33666;17026;19844;1.6965329570651078;3.561171054840088;0.12608790397644043;3.6872589588165283;0.9999758203596061
123;0.7;neuron_removal;0.9566589615931721;0.9616614483638051;0.9616614483638051;0.961648662844502;0.9616666666666667;33666;10370;17607;1.9120804225592094;0.0005700588226318359;0.09674191474914551;0.09731197357177734;1.0052157576018734
123;0.7;svd_compression;0.9566589615931721;0.9616614483638051;0.6359050221057665;0.96999466571835;0.97;33666;10370;33666;1.0;0.0021479129791259766;0.1006460189819336;0.10279393196105957;1.0139398726824962
123;0.7;knowledge_distill;0.9566589615931721;0.9616614483638051;0.9649999027775078;0.9549638459763532;0.955;33666;10370;2805;12.002139037433155;0.31583213806152344;0.07459592819213867;0.3904280662536621;0.9982280878715692
123;0.7;weight_redistribution;0.9566589615931721;0.9616614483638051;0.3333333333333333;0.9649975692756442;0.965;33666;10370;2657;12.670681219420398;0.0005121231079101562;0.07431507110595703;0.07482719421386719;1.0087163848531617
123;0.7;evomerge;0.9566589615931721;0.9616614483638051;0.9583193239950094;0.9666607396870555;0.9666666666666667;33666;10370;19634;1.714678618722624;3.5197691917419434;0.10037708282470703;3.6201462745666504;1.010454904511872
123;0.8;neuron_removal;0.9566589615931721;0.9616614483638051;0.9616614483638051;0.9649975692756442;0.965;33666;7042;14399;2.338079033266199;0.0004930496215820312;0.09082818031311035;0.09132122993469238;1.0087163848531617
123;0.8;svd_compression;0.9566589615931721;0.9616614483638051;0.6311654055504018;0.9716665879627444;0.9716666666666667;33666;7042;33666;1.0;0.002053976058959961;0.10237693786621094;0.1044309139251709;1.0156875406723618
123;0.8;knowledge_distill;0.9566589615931721;0.9616614483638051;0.963326813655761;0.9649952354626046;0.965;33666;7042;1945;17.30899742930591;0.29529881477355957;0.07053780555725098;0.36583662033081055;1.0087139453076879
