task,method,median_loss,mean_loss,std_loss,iqr_loss,median_rcu_hpo,median_rcu_total,n_seeds,rank,L_min,L_max,L_random,norm_regret,tier,is_author
L2/yahpo__lcbench__126026/yahpo,SACMA-MAB,0.02979279402643442,0.032345428876578805,0.005980822963060782,0.005300562363117933,165.39584299597462,174.94357988940112,10,3.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.03049162533548671,L2,True
L2/yahpo__lcbench__126026/yahpo,SMAC,0.041408151388168335,0.04263416863977909,0.010552588625974748,0.01667135301977396,55.78141908732576,67.09266033104731,10,6.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.28915000867006474,L2,False
L2/yahpo__lcbench__126026/yahpo,Sigma-CMA,0.03272758983075619,0.036791294999420646,0.01056918868089652,0.004196418449282646,42.56600828417052,54.42425669857893,10,4.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.09584557997693499,L2,True
L2/yahpo__lcbench__126026/yahpo,TPE,0.04705372825264931,0.04674247018992901,0.008065181084820709,0.011715294793248177,17.927270033588883,29.443607389931252,10,7.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.4148694109476506,L2,False
L2/yahpo__lcbench__126026/yahpo,WL-CMA,0.03294903598725796,0.03558572754263878,0.008739238043582273,0.008015453815460205,1372.1726090134266,1385.7335758139805,10,5.0,0.028423531912267208,0.07332970201969147,0.07332970201969147,0.10077688799033332,L2,True
L2/yahpo__lcbench__167104/yahpo,CMA-ES,0.20829997211694717,0.20993013679981232,0.01260991212064658,0.01923929899930954,0.817559427846672,12.17051292717039,10,9.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.804197037535103,L2,False
L2/yahpo__lcbench__167104/yahpo,DEHB,0.23389465361833572,0.22913249731063842,0.02776406030627141,0.04645499959588051,0.3603089492156544,10.393214768829827,10,11.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,1.0257210908566468,L2,False
L2/yahpo__lcbench__167104/yahpo,GP-BO,0.1153838001191616,0.11958530247211456,0.027119656311676572,0.027180247008800507,1257.7105862825447,1268.134541884792,10,1.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.0,L2,False
L2/yahpo__lcbench__167104/yahpo,L-SHADE,0.17831747978925705,0.18112803846597672,0.03081709331191395,0.042398851364851,0.7358505274890369,11.587859486120351,10,7.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.5446961240835458,L2,False
L2/yahpo__lcbench__167104/yahpo,Random,0.2309228628873825,0.2304966226220131,0.021562781798123237,0.026233583688735962,0.05831892756291429,10.608266859488511,10,10.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,1.0,L2,False
L2/yahpo__lcbench__167104/yahpo,SACMA-DAC,0.13180621713399887,0.12681768238544464,0.021535003007305157,0.03603960759937763,1124.6793000217995,1139.514914547406,10,3.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.1421373570234141,L2,True
L2/yahpo__lcbench__167104/yahpo,SACMA-MAB,0.1239585168659687,0.13884530663490297,0.03670741594053261,0.05374574288725853,210.00614855194718,222.5201844809708,10,2.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.074214871934772,L2,True
L2/yahpo__lcbench__167104/yahpo,SMAC,0.1598028913140297,0.16892983317375182,0.027413992333518822,0.014947056770324707,51.25899466099008,61.580197362476895,10,4.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.3844508526434541,L2,False
L2/yahpo__lcbench__167104/yahpo,Sigma-CMA,0.18852298706769943,0.1817330837249756,0.046478299979950025,0.0537257082760334,40.987383752647574,52.010578964319365,10,8.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.6330256209128158,L2,True
L2/yahpo__lcbench__167104/yahpo,TPE,0.17083200812339783,0.17139851599931716,0.017953260909363004,0.013949781656265259,16.98861160902009,27.923732077973483,10,6.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.4799087570536126,L2,False
L2/yahpo__lcbench__167104/yahpo,WL-CMA,0.16433918476104736,0.16681978106498718,0.029928422210480053,0.03777110204100609,1420.0268052196684,1433.079112413303,10,5.0,0.1153838001191616,0.23389465361833572,0.2309228628873825,0.42371284195106845,L2,True
L2/yahpo__lcbench__167149/yahpo,CMA-ES,0.08735732734203339,0.09671404138207436,0.023392256364037956,0.02782146818935871,0.7628637126742184,11.19076243734003,10,9.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.7751486280965206,L2,False
L2/yahpo__lcbench__167149/yahpo,DEHB,0.10437369346618652,0.1207049660384655,0.03427485453879019,0.0293230339884758,0.36636082360690936,10.667536305427406,10,11.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,1.0656100850076469,L2,False
L2/yahpo__lcbench__167149/yahpo,GP-BO,0.04194609448313713,0.05446768291294575,0.029608698427020855,0.009559919126331806,1678.9022844019587,1692.1791598688126,10,1.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.0,L2,False
L2/yahpo__lcbench__167149/yahpo,L-SHADE,0.07091332599520683,0.07270205169916152,0.01782526239534254,0.020740609616041183,0.8855885837838965,13.431825935599527,10,8.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.49445717177740783,L2,False
L2/yahpo__lcbench__167149/yahpo,Random,0.1005299985408783,0.10540775805711747,0.024374855648615214,0.04200528562068939,0.057123516900072425,10.476269570534253,10,10.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,1.0,L2,False
L2/yahpo__lcbench__167149/yahpo,SACMA-DAC,0.04471082426607609,0.052505603060126305,0.015356526014701955,0.016920799389481544,873.4877970958692,886.7062241143701,10,3.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.047192651760012416,L2,True
L2/yahpo__lcbench__167149/yahpo,SACMA-MAB,0.044598814100027084,0.04794300273060799,0.008708838389931991,0.009114204905927181,176.09282156069742,187.9402651617459,10,2.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.045280690311717595,L2,True
L2/yahpo__lcbench__167149/yahpo,SMAC,0.07042881846427917,0.07587124109268188,0.01653273136954871,0.01649872213602066,55.19823098395991,66.47930958038677,10,7.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.4861868535266794,L2,False
L2/yahpo__lcbench__167149/yahpo,Sigma-CMA,0.06489935889840126,0.09787429459393024,0.08507300742993426,0.03693644143640995,39.583418453242714,50.68751223558739,10,5.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.39180155000665456,L2,True
L2/yahpo__lcbench__167149/yahpo,TPE,0.07031989470124245,0.06888661161065102,0.011559746470682036,0.012808900326490402,18.22350594558707,30.15458499834815,10,6.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.4843275755425872,L2,False
L2/yahpo__lcbench__167149/yahpo,WL-CMA,0.0626237653195858,0.06587320677936077,0.01591605640171493,0.018275931477546692,1505.0730880952533,1517.8185366492307,10,4.0,0.04194609448313713,0.10437369346618652,0.1005299985408783,0.3529582257964312,L2,True
